1,1,25,3552421878674096,2500
2,2,2,3576673413772833,5200
3,3,16,3530093907582876,11500
4,3,4,3056555485138224,13800
5,4,2,3576673413772833,7500
6,5,7,3407904469724602,3750
7,5,13,3548869059158577,3750
8,6,10,3723012602605692,11000
9,6,17,4182805758453069,13000
10,7,6,3582000258307594,1500
11,7,30,1132265776705908,6000
12,8,17,4182805758453069,1600
13,9,2,3576673413772833,3600
14,10,28,5602228816963977,9900
15,11,28,5602228816963977,8400
16,12,12,3001932084549251,14400
17,12,27,3035156697396342,16200
18,13,17,4182805758453069,13000
19,14,11,3032429457163892,12600
20,14,15,4913059956252427,7200
21,14,8,3532095443241972,10800
22,15,21,2201817036913733,6300
23,16,1,3548719299364529,3200
24,16,20,3538483522282162,3600
25,17,21,2201817036913733,3300
26,18,5,4017952431989415,8000
27,19,21,2201817036913733,5400
28,19,23,1230010201514950,6750
29,20,22,3543049077763725,9100
30,21,14,1201575740591209,9000
31,22,3,3016641052988023,5600
32,23,18,3570637815643104,7150
33,24,28,5602228816963977,14400
34,25,2,3576673413772833,6000
35,25,29,3545084339827875,3750
36,26,9,3574637720862183,1000
37,26,19,3584231188168420,400
38,27,21,2201817036913733,8400
39,28,26,3565344386789674,3150
40,29,24,2016267882486972,8800
41,30,26,3565344386789674,7200
